file,time_s,frame_valid,diff_changed_pct,outside_area_px,entrance_dark_pct,outside_detected,in_shelter
G0010009.JPG,5,1,21.00,24543,26.99,1,0

G0010010.JPG,10,0,41.39,-1,-1,-1,0

G0010011.JPG,15,0,28.17,-1,-1,-1,0

G0010012.JPG,20,1,17.89,32478,41.04,1,0

G0010013.JPG,25,0,28.41,-1,-1,-1,0

G0010014.JPG,30,1,4.75,42430,37.88,1,0

G0010015.JPG,35,1,6.03,47464,39.38,1,0

G0010016.JPG,40,1,5.44,43278,40.71,1,0

G0010017.JPG,45,1,8.76,26397,24.81,1,0

G0010018.JPG,50,1,17.06,43731,58.84,1,0

G0010019.JPG,55,1,24.29,50530,13.39,1,0

G0010020.JPG,60,1,3.84,41580,35.60,1,0

G0010021.JPG,65,1,3.78,41279,36.36,1,0

G0010022.JPG,70,1,3.53,38897,33.97,1,0

G0010023.JPG,75,1,7.54,37078,34.75,1,0

G0010024.JPG,80,1,11.08,40795,36.01,1,0

G0010025.JPG,85,1,9.05,39705,36.17,1,0

G0010026.JPG,90,1,3.47,42608,35.12,1,0

G0010027.JPG,95,1,3.56,41369,34.99,1,0

G0010028.JPG,100,1,3.59,41787,34.62,1,0

G0010029.JPG,105,1,3.40,36662,35.04,1,0

G0010030.JPG,110,1,7.48,30388,21.16,1,0

G0010031.JPG,115,1,2.89,35821,34.86,1,0

G0010032.JPG,120,1,3.37,39828,34.65,1,0

G0010033.JPG,125,1,3.78,43023,34.13,1,0

G0010034.JPG,130,1,3.64,39529,33.64,1,0

G0010035.JPG,135,1,3.25,40290,34.68,1,0

G0010036.JPG,140,1,3.76,39673,34.36,1,0

G0010037.JPG,145,1,4.59,41443,35.04,1,0

G0010038.JPG,150,1,4.15,39194,34.53,1,0

G0010039.JPG,155,1,4.06,42046,33.43,1,0

G0010040.JPG,160,1,4.12,39496,33.01,1,0

G0010041.JPG,165,1,5.13,41187,31.07,1,0

G0010042.JPG,170,1,4.49,41861,31.71,1,0

G0010043.JPG,175,1,4.03,42209,35.60,1,0

G0010044.JPG,180,1,4.24,41827,34.42,1,0

G0010045.JPG,185,1,4.39,40346,35.54,1,0

G0010047.JPG,190,1,4.63,41626,32.15,1,0

G0010048.JPG,195,1,5.17,41236,32.33,1,0

G0010049.JPG,200,1,3.43,36590,35.98,1,0

G0010050.JPG,205,1,3.43,40215,34.47,1,0

G0010051.JPG,210,1,3.69,39578,35.24,1,0

G0010052.JPG,215,1,3.65,39653,34.84,1,0

G0010053.JPG,220,1,3.85,41724,35.82,1,0

G0010054.JPG,225,1,3.63,41671,36.62,1,0

G0010055.JPG,230,1,4.77,39343,33.44,1,0

G0010056.JPG,235,1,4.98,39484,35.59,1,0

G0010057.JPG,240,1,4.77,39338,33.50,1,0

G0010058.JPG,245,1,3.78,43291,35.68,1,0

G0010059.JPG,250,1,3.99,40760,33.28,1,0

G0010060.JPG,255,1,4.03,40740,35.82,1,0

G0010061.JPG,260,1,3.23,39761,32.25,1,0

G0010062.JPG,265,1,10.33,37568,34.67,1,0

G0010063.JPG,270,1,15.74,37807,35.96,1,0

G0010064.JPG,275,1,14.85,35912,36.09,1,0

G0010065.JPG,280,1,11.03,35876,35.77,1,0

G0010066.JPG,285,1,23.73,50112,34.36,1,0

G0010067.JPG,290,1,18.15,34154,43.13,1,0

G0010068.JPG,295,1,9.98,34892,34.63,1,0

G0010069.JPG,300,1,24.35,43298,24.20,1,0

