"experiment","exp_id","round","tank","date","light","treatment","location_T0","behaviour_T0","location_T5","behaviour_T5","location_T10","behaviour_T10","location_T20","behaviour_T20","location_T30","behaviour_T30","location_T45","behaviour_T45","location_T60","behaviour_T60","location_T61","behaviour_T61","location_T65","behaviour_T65","location_T70","behaviour_T70","location_T80","behaviour_T80","location_T90","behaviour_T90","location_T120","behaviour_T120","location_T150","behaviour_T150","location_T180","behaviour_T180","location_T210","behaviour_T210","location_T240","behaviour_T240","location_T245","behaviour_T245","location_T260","behaviour_T260","location_T275","behaviour_T275","location_T290","behaviour_T290","location_T300","behaviour_T300","notes_exp","koura_id","extra_koura_id","old_id","hold_tank","sex","size_class","size_mm1","weight_g1","legs1","claws1","antenna1","note","size_mm2","weight_g2","legs2","claws2","antenna2","moult_date","notes_koura"
"NCE2",54,7,6,2025-10-15,"dark","catfish","ref_back","static","wall","walk","barrier","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static",NA,NA,"ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_open","static","ref_back","static",NA,94,94,52,6,"M","M",25.55,9,4,0,2,NA,NA,NA,NA,NA,NA,NA,NA
"NCE2",55,7,7,2025-10-15,"dark","eel","wall","static","wall","static","wall","static","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb",NA,NA,"barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb",NA,75,75,NA,7,"M","M",25.38,9,6,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"NCE2",56,7,8,2025-10-15,"dark","control","barrier","static","floor","walk","wall","static","floor","static","floor","static","ref_next","static","floor","static","floor","static","barrier","static","barrier","static","barrier","static","barrier","static","wall","static","ref_next","static",NA,NA,"wall","static","wall","static","ref_next","walk","wall","static","wall","static","wall","static","wall","static",NA,96,96,79,8,"M","S",21.73,5,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"NCE2",57,8,1,2025-10-16,"dark","catfish","ref_next","static","ref_back","static","ref_back","static","barrier","static","barrier","climb","barrier","climb","barrier","walk","barrier","static","barrier","static","barrier","static","barrier","static","barrier","climb","barrier","static","ref_back","static",NA,NA,"ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static",NA,97,97,NA,9,"M","L",30.22,16,6,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"NCE2",58,8,2,2025-10-16,"dark","eel","wall","static","barrier","walk","barrier","walk","floor","static","barrier","climb","wall","static","wall","static","wall","static","wall","static","wall","static","wall","static","wall","static","barrier","static","wall","static",NA,NA,"wall","static","wall","static","wall","static","wall","static","wall","static","wall","static","wall","static",NA,98,98,NA,10,"M","L",30.91,21,8,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"NCE2",59,8,3,2025-10-16,"dark","control","floor","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","barrier","climb","ref_back","static",NA,NA,"wall","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static",NA,99,99,NA,11,"M","M",25.21,8,8,2,2,"soft",NA,NA,NA,NA,NA,2025-10-14,NA
"NCE2",60,8,4,2025-10-16,"dark","catfish","ref_next","static","wall","static","floor","walk","barrier","climb","wall","static","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","ref_back","static","wall","static","barrier","static",NA,NA,"barrier","static","barrier","climb","barrier","climb","barrier","static","wall","static","barrier","walk","barrier","static",NA,100,100,NA,12,"M","S",21.46,6,8,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"NCE2",61,8,5,2025-10-16,"dark","eel","floor","static","wall","static","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb","barrier","climb",NA,NA,"barrier","climb","barrier","walk","ref_back","static","ref_back","static","ref_back","static","barrier","climb","barrier","climb",NA,78,78,NA,13,"M","S",18.35,3,8,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"NCE2",62,8,6,2025-10-16,"dark","control","barrier","static","barrier","static","barrier","static","barrier","static","barrier","walk","barrier","static","barrier","static","barrier","static","barrier","static","barrier","static","barrier","climb","barrier","static","barrier","static","barrier","static",NA,NA,"barrier","static","barrier","static","barrier","static","barrier","static","barrier","static","barrier","static","barrier","static",NA,102,102,58,14,"M","M",26.87,11,7,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"NCE2",63,8,7,2025-10-16,"dark","catfish","floor","static","floor","static","wall","static","ref_open","walk","ref_open","walk","barrier","walk","ref_next","static","ref_next","static","wall","walk","barrier","climb","wall","static","barrier","walk","ref_next","static","wall","walk",NA,NA,"barrier","walk","barrier","walk","barrier","static","floor","walk","barrier","walk","barrier","walk","barrier","walk",NA,84,84,NA,15,"M","M",25.2,11,8,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"NCE2",64,8,8,2025-10-16,"dark","eel","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static","barrier","static",NA,NA,"wall","static","barrier","static","wall","static","ref_back","static","ref_back","static","ref_back","static","ref_back","static",NA,87,87,NA,16,"M","S",21.26,7,6,2,2,NA,NA,NA,NA,NA,NA,NA,NA
