"contrast","odds.ratio","SE","df","null","z.ratio","p.value","factor"
"catfish / control",1.528,0.446,Inf,1,1.452,0.314,"treatment"
"catfish / eel",2.341,0.681,Inf,1,2.924,0.01,"treatment"
"control / eel",1.533,0.451,Inf,1,1.452,0.314,"treatment"
"before / during",0.589,0.166,Inf,1,-1.881,0.144,"period"
"before / after",0.402,0.121,Inf,1,-3.04,0.007,"period"
"during / after",0.682,0.205,Inf,1,-1.276,0.409,"period"
"dark / light",0.52,0.124,Inf,1,-2.737,0.006,"light"
