"term","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-0.289,0.275,-1.048,0.295
"treatmentcontrol",-0.424,0.292,-1.452,0.146
"treatmenteel",-0.851,0.291,-2.924,0.003
"lightlight",0.654,0.239,2.737,0.006
"periodduring",0.53,0.282,1.881,0.06
"periodafter",0.912,0.3,3.04,0.002
