"Sum Sq","Df","F value","Pr(>F)"
0.00440104166666666,1,0.640128929181653,0.428510890506888
0.000446366998919423,2,0.0324619090980717,0.968085451593731
0.131604766998616,2,9.57091808651649,0.000415173234084489
0.0616426448331288,4,2.24147163430755,0.0821411130566991
0.26813446038039,39,NA,NA
